name,SI,isocode,malaria_index,meanrh,meantemp,itx,r,prop_tropics,coast,river,meanalt,city1800,lat,lon,province,N,tse,perturb_TSI1,perturb_TSI2,abslat,slavery_indigenous,intensive,plow,animals,central,female_ag,optimum,ln_popd_murdock,gathering,hunting,fishing,husbandry,agriculture
"ABABDA",0.101660311222076,"EGY",0.256390005350113,27.0125255584717,26.4905204772949,715.575866699219,0.363588333129883,0.627398014068604,1,1,0.373352199792862,0,24,34,40,8.51404476165771,-0.320090651512146,-0.489321231842041,0.404014617204666,24,NA,0,0,1,0,NA,0,-2.06262302398682,0,1,0,8,1
"ABARAMBO",0.885093033313751,"COD",13.2452802658081,66.9045791625977,25.4083309173584,1699.93371582031,0.5672607421875,1,0,1,0.0242501702159643,0,4,27,29,12.152738571167,0.87611973285675,1.41800105571747,1.15465199947357,4,1,0,0,0,0,NA,1,1.98042154312134,0,2,1,1,6
"ABRON",0.700928926467896,"GHA",24.917989730835,68.1271362304688,25.8933696746826,1764.04113769531,0.562649846076965,1,0,1,0.149895995855331,0,5,-3,32,12.0736494064331,0.850119411945343,1.25365519523621,1.21189117431641,5,1,0,0,0,1,NA,1,1.29368102550507,0,1,0,1,8
"ACHOLI",0.604699313640594,"UGA",12.9765796661377,58.8982315063477,23.4343490600586,1380.24169921875,0.545767188072205,1,0,1,0.896032214164734,0,3,32,43,11.7829465866089,0.754551649093628,0.105179503560066,-0.340249300003052,3,0,0,0,0,0,NA,1,2.21569633483887,1,1,0,3,5
"ADANGME",0.536192119121552,"GHA",0,78.3631973266602,25.3789501190186,1988.77563476563,0.636058449745178,1,1,1,0.00798415020108223,0,6,0,32,13.3182020187378,1.2592625617981,1.92515504360199,1.45014142990112,6,NA,0,0,0,0,NA,1,3.68508172035217,0,1,0,1,8
"AFAR",0.131594717502594,"ETH",13.0432100296021,33.2946586608887,29.1837291717529,971.662292480469,0.246799886226654,1,1,1,0.399854183197021,0,12,42,41,6.24487781524658,-1.06607294082642,-2.64982867240906,0.313361346721649,12,1,0,0,1,1,NA,0,-0.10094054043293,1,0,1,8,0
"AFIKPO",0.674241185188293,"NGA",24.9331703186035,75.9213333129883,24.9863605499268,1896.99780273438,0.62718391418457,1,0,1,0.130637213587761,0,6,8,31,13.169337272644,1.2103236913681,-0.307477205991745,-0.0218572784215212,6,1,1,0,1,0,1,1,NA,1,0,2,1,6
"AFO",0.653807580471039,"NGA",24.9127902984619,65.3932418823242,25.5548000335693,1671.11120605469,0.555626571178436,1,0,0,0.00377256888896227,0,8,8,31,11.9529304504395,0.810433387756348,1.29275727272034,1.12673044204712,8,1,0,0,0,0,NA,1,1.47466289997101,0,0,2,1,7
"AHAGGAREN",0.0919539928436279,"DZA",0,21.5898323059082,25.780818939209,556.603576660156,0.37049925327301,0.489149510860443,0,0,0.683322668075562,0,23,6,53,8.64326572418213,-0.277609616518021,-0.215271607041359,0.314193546772003,23,1,1,0,1,1,NA,0,-4.59957456588745,1,1,0,5,3
"AKYEM",0.51550966501236,"GHA",24.1176109313965,78.3631973266602,25.3789501190186,1988.77563476563,0.636058449745178,1,0,1,0.163754597306252,0,7,-1,32,13.3182020187378,1.2592625617981,1.92515504360199,1.45014142990112,7,1,0,0,0,1,NA,1,1.39733839035034,0,1,0,1,8
"ALAGYA",0.622593402862549,"CIV",24.2552509307861,78.3631973266602,25.3789501190186,1988.77563476563,0.636058449745178,1,1,1,0.0740719065070152,0,5,-4,32,13.3182020187378,1.2592625617981,1.92515504360199,1.45014142990112,5,1,NA,NA,NA,NA,NA,1,0.473969280719757,0,1,8,1,1
"ALGERIANS",0.324078321456909,"DZA",0.0243100002408028,55.9552764892578,18.2956199645996,1023.73645019531,0.121161937713623,0,1,0,0.58050674200058,1,31,2,52,3.53460550308228,-1.95706737041473,-0.16122405230999,-1.87043011188507,31,1,1,1,1,NA,0,0,3.8519606590271,0,0,0,3,7
"ALUR",0.646551728248596,"UGA",7.52043485641479,58.8982315063477,23.4343490600586,1380.24169921875,0.545767188072205,1,0,1,0.0617211610078812,0,2,31,43,11.7829465866089,0.754551649093628,0.105179503560066,-0.340249300003052,2,1,0,0,1,0,0,1,3.36171436309814,0,1,2,2,5
"AMARAR",0.10173898935318,"SDN",0,36.2393608093262,27.3515205383301,991.201599121094,0.358287274837494,1,1,0,0.49516761302948,0,20,36,40,8.41459274291992,-0.352785229682922,-0.805380702018738,0.526247501373291,20,NA,0,0,1,0,NA,0,0.175611197948456,0,0,0,9,1
"AMBA",0.368196904659271,"COD",3.24858403205872,68.2054595947266,21.3737697601318,1457.80773925781,0.289282917976379,1,0,1,0.181501686573029,0,1,30,36,7.09097909927368,-0.787919521331787,0.294330418109894,-1.04614675045013,1,0,0,0,0,0,1,0,2.14117455482483,1,1,1,1,6
"AMBO",0.459899425506592,"NAM",5.33998394012451,31.2633399963379,23.6633892059326,739.796569824219,0.432621836662292,1,0,1,1.04724407196045,0,-17,16,48,9.7844123840332,0.097539134323597,0.0594155043363571,-0.283162117004395,17,1,0,0,1,1,1,0,0.600395560264587,0,1,1,3,5
"AMHARA",0.429172575473785,"ETH",3.55573797225952,61.6057739257813,19.0283050537109,1172.25341796875,0.171146631240845,1,0,1,1.37012302875519,0,13,38,22,4.65953588485718,-1.58724963665009,0.0298505779355764,-1.87043011188507,13,1,1,1,1,1,0,0,3.15891647338867,0,0,1,3,6
"ANAGUTA",0.0919539928436279,"NGA",10.2120800018311,51.5859489440918,26.0379199981689,1343.19079589844,0.472110271453857,1,0,0,0.348036497831345,0,10,9,13,10.4925909042358,0.33035084605217,0.525105953216553,0.831035912036896,10,1,0,0,0,0,0,0,3.45720529556274,1,1,0,1,7
"ANFILLO",0.475303649902344,"ETH",6.14798307418823,52.1867713928223,26.7907905578613,1398.12487792969,0.448505342006683,1,0,0,0.312480270862579,0,9,35,21,10.0707559585571,0.191673785448074,0.121963709592819,0.847935438156128,9,NA,0,0,1,1,NA,0,0.129439890384674,1,0,1,2,6
"ANGAS",0.609314560890198,"NGA",23.323579788208,61.6279602050781,24.9140796661377,1535.40393066406,0.54809582233429,1,0,1,0.208501294255257,0,9,9,13,11.8231496810913,0.767768323421478,-0.282744288444519,-0.0332627110183239,9,1,1,0,0,0,NA,1,2.5234580039978,1,0,0,2,7
"ANTESSAR",0.0906107425689697,"MLI",10.0025501251221,24.4452304840088,28.9373207092285,707.379455566406,0.239647507667542,1,0,0,0.153095498681068,0,18,-3,53,6.09966993331909,-1.11380958557129,-2.62410759925842,0.235919415950775,18,1,1,0,1,0,NA,0,0.357007950544357,0,1,0,6,3
"ANUAK",0.827122092247009,"ETH",22.0998191833496,52.1867713928223,26.7907905578613,1398.12487792969,0.448505342006683,1,0,1,0.212738409638405,0,8,34,21,10.0707559585571,0.191673785448074,0.121963709592819,0.847935438156128,8,NA,1,0,0,0,0,0,0.370762258768082,0,1,2,1,6
"ANYI",0.65977680683136,"CIV",23.6805000305176,78.3631973266602,25.3789501190186,1988.77563476563,0.636058449745178,1,0,1,0.140636906027794,0,7,-4,32,13.3182020187378,1.2592625617981,1.92515504360199,1.45014142990112,7,1,0,0,0,1,NA,1,1.1223931312561,0,1,0,1,8
"ARBORE",0.439760565757751,"ETH",1.79634404182434,69.3915176391602,18.5061092376709,1284.1669921875,0.136159300804138,1,0,0,0.429715782403946,0,5,37,25,3.88048338890076,-1.8433610200882,-0.100778348743916,-1.87043011188507,5,NA,0,0,1,0,NA,0,NA,0,0,0,4,6
"ARUSI",0.478720664978027,"ETH",4.12865018844604,58.6424217224121,20.8133201599121,1220.54345703125,0.266856551170349,1,0,1,1.40972805023193,0,8,40,42,6.64768266677856,-0.933651983737946,0.277805805206299,-1.31997466087341,8,1,0,1,1,1,0,0,0.556859970092773,0,1,0,5,4
"ASBEN",0.0930680632591248,"NER",2.98575901985168,23.341854095459,27.093391418457,632.409973144531,0.330641269683838,0.991986691951752,0,0,0.493170022964478,0,18,8,15,7.891028881073,-0.524905383586884,-0.967795372009277,0.351412713527679,18,1,1,0,1,1,0,0,-2.73960494995117,1,1,0,5,3
